"participant_id","age","gender","ethnicity","transfer","international","us_born","parent_ed_1","parent_ed_2","major_sem_1","major_sem_2","major_sem_3","major_sem_4","gpa_sem_1","gpa_sem_2","gpa_sem_3","gpa_sem_4"
160,18,"Male","White",1,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",3.72,3.74,2.63,NA
161,20,"Female","White",1,0,1,"Associates degree or equivalent (2 year degree)","High school diploma",NA,"Chemical Engineering","Biomedical Engineering","Biomedical Engineering",2.13,3.45,2.89,3.87
162,19,"Female","White",0,0,1,"Master's degree","Associates degree or equivalent (2 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",3.42,3.86,NA,2.36
163,21,"Male","Asian/Pacific Islander",0,0,1,"Associates degree or equivalent (2 year degree)","Associates degree or equivalent (2 year degree)","Biomedical Engineering","Computer Science",NA,"Computer Science",3.96,3.87,2.65,3.17
164,18,"Male","White",0,1,1,"High school diploma","High school diploma","Chemical Engineering","Chemical Engineering","Chemical Engineering","Chemical Engineering",3.44,2.38,3.38,2.27
165,22,"Female","Asian/Pacific Islander",0,0,1,"Bachelor's degree (4 year degree)","Associates degree or equivalent (2 year degree)","Biomedical Engineering","Computer Science","Computer Science","Computer Science",3.09,3.21,3.02,3.95
166,19,"Male","White",0,0,1,"Associates degree or equivalent (2 year degree)","Associates degree or equivalent (2 year degree)","Biology","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",2.76,3.61,2.5,2.44
167,18,"Female","White",0,0,1,"Associates degree or equivalent (2 year degree)","Master's degree","Computer Science",NA,"Biology","Biology",2.48,2.31,3.69,3.79
168,20,"Female","Black/African American",0,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",3.5,2.73,NA,2.76
169,19,"Male","Asian/Pacific Islander",0,0,1,"High school diploma","High school diploma","Computer Science","Computer Science",NA,NA,3.91,2.6,2.66,2.39
170,18,"Female","White",0,0,1,"Associates degree or equivalent (2 year degree)","High school diploma","Biology",NA,"Chemical Engineering","Chemical Engineering",NA,3.7,NA,3.85
171,19,"Female","White",1,0,1,"Bachelor's degree (4 year degree)","Associates degree or equivalent (2 year degree)","Computer Science","Computer Science","Biology","Biology",2.67,3.1,3.59,3.68
172,18,"Male","Multiracial",1,0,1,"Master's degree","High school diploma","Mechanical Engineering","Mechanical Engineering",NA,"Mechanical Engineering",3.51,3.89,2.34,3.05
173,18,"Female","White",0,0,1,"High school diploma","Bachelor's degree (4 year degree)","Computer Science","Computer Science",NA,"Computer Science",3.96,3.57,2.08,2.37
174,19,"Female","Hispanic/Latine",0,0,1,"Doctorate or professional degree","Elementary school","Mechanical Engineering",NA,"Mechanical Engineering","Mechanical Engineering",2.59,2.52,3.71,2.06
175,20,"Female","White",0,0,1,"High school diploma","Master's degree","Biology","Biology","Biology","Biology",3.78,3.11,3.06,3.01
176,20,"Male","White",1,0,1,"Middle school/Junior high","High school diploma","Computer Science","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.26,2.23,2.35,2.98
177,20,"Male","Black/African American",1,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",2.86,NA,2.07,2.65
178,19,"Male","White",0,0,1,"Master's degree","Bachelor's degree (4 year degree)","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",3.21,3.46,3.99,2.89
179,19,"Male","White",0,0,1,"Associates degree or equivalent (2 year degree)","High school diploma","Computer Science","Chemical Engineering","Chemical Engineering","Mechanical Engineering",2.17,2.03,2.48,NA
180,18,"Female","White",0,0,1,"Some high school","Master's degree","Computer Science","Computer Science","Computer Science",NA,3.09,2.59,3.7,2.13
181,18,"Male","Hispanic/Latine",0,0,1,"Master's degree","High school diploma","Computer Science",NA,"Computer Science","Computer Science",2.63,3.92,2.57,2.25
182,19,"Male","White",0,0,1,"High school diploma","Master's degree","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.69,3.09,3.24,NA
183,18,"Female","White",0,0,1,"Bachelor's degree (4 year degree)","Associates degree or equivalent (2 year degree)","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",3.86,3.11,3.06,2.94
184,19,"Female","Asian/Pacific Islander",0,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Computer Science","Computer Science","Computer Science",NA,3.98,2.61,2.35,2.81
185,18,"Male","Asian/Pacific Islander",1,0,1,"Bachelor's degree (4 year degree)","High school diploma","Biology","Biology","Biology","Biology",2.56,2.01,NA,2.21
186,22,"Male","White",1,0,1,"Associates degree or equivalent (2 year degree)","High school diploma","Biology","Biology","Chemical Engineering",NA,3.88,2.26,2.34,NA
187,20,"Male","Other",0,0,1,"Associates degree or equivalent (2 year degree)","High school diploma","Computer Science","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",3.59,3.78,2.4,2.83
188,18,"Male","Black/African American",0,0,1,"Doctorate or professional degree","Associates degree or equivalent (2 year degree)","Computer Science","Computer Science","Biomedical Engineering","Biomedical Engineering",3.98,2.08,3.15,2.87
189,18,"Male","Hispanic/Latine",1,0,1,"Associates degree or equivalent (2 year degree)","High school diploma","Chemical Engineering","Biology","Biology","Biology",3.5,2.02,3.37,3.52
190,18,"Male","White",1,0,1,"Doctorate or professional degree","Associates degree or equivalent (2 year degree)","Computer Science","Computer Science","Computer Science",NA,3.66,2.25,3.72,2.96
191,19,"Male","Hispanic/Latine",1,0,1,"Associates degree or equivalent (2 year degree)","Some high school","Biology","Computer Science","Computer Science","Computer Science",3.58,3.67,2.7,3.54
192,20,"Female","White",1,0,1,"High school diploma","Bachelor's degree (4 year degree)","Mechanical Engineering",NA,"Biomedical Engineering",NA,2.18,3.51,3.11,NA
193,18,"Male","White",0,0,1,"Master's degree","High school diploma","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.07,2.7,3.66,2.14
194,19,"Male","White",1,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Biology","Biomedical Engineering","Mechanical Engineering","Mechanical Engineering",3.67,2.28,NA,NA
195,19,"Male","White",0,0,1,"Bachelor's degree (4 year degree)","Doctorate or professional degree","Computer Science","Computer Science","Computer Science",NA,3.7,2.71,NA,3.89
196,18,"Male","White",0,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Computer Science",NA,3.51,2.38,NA,2.66
197,18,"Male","White",1,0,1,"Some high school","Associates degree or equivalent (2 year degree)","Biology","Biology","Biology","Biology",3.17,3.73,3.85,2.51
198,18,"Female","White",0,0,1,"No school","Bachelor's degree (4 year degree)","Biomedical Engineering","Mechanical Engineering",NA,NA,2.9,2.29,2.28,2.11
199,19,"Male","White",1,0,1,"Associates degree or equivalent (2 year degree)","Bachelor's degree (4 year degree)","Mechanical Engineering","Mechanical Engineering",NA,"Mechanical Engineering",2.91,3.07,3.03,3.77
200,18,"Female","White",1,0,1,"Bachelor's degree (4 year degree)","Associates degree or equivalent (2 year degree)","Computer Science","Computer Science","Mechanical Engineering","Mechanical Engineering",2.73,2.98,3.96,3.93
201,19,"Female","Multiracial",1,0,1,"Bachelor's degree (4 year degree)","High school diploma","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",3.58,2.11,3.47,NA
202,18,"Female","Asian/Pacific Islander",1,1,1,"High school diploma","Bachelor's degree (4 year degree)","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",3.83,NA,2.47,3.13
203,18,"Male","White",1,0,1,"Associates degree or equivalent (2 year degree)","Associates degree or equivalent (2 year degree)","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering","Computer Science",3.77,3.98,2.66,2.99
204,18,"Female","Asian/Pacific Islander",0,0,1,"High school diploma","Bachelor's degree (4 year degree)","Computer Science","Biology","Biology","Biology",3.09,3.96,2.67,NA
205,19,"Male","White",1,0,1,"Associates degree or equivalent (2 year degree)","High school diploma","Biology","Biomedical Engineering","Biology","Biology",2.22,2.64,2.07,NA
206,18,"Male","Multiracial",0,0,1,"High school diploma","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",3.77,2,3.96,2.14
207,18,"Male","White",0,0,1,"Associates degree or equivalent (2 year degree)","Associates degree or equivalent (2 year degree)","Computer Science","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",2.22,2.01,3.6,2.84
208,19,"Male","Black/African American",0,0,1,"No school","High school diploma","Biology",NA,"Mechanical Engineering","Mechanical Engineering",3.08,3.3,NA,2.22
209,19,"Male","White",1,0,1,"Associates degree or equivalent (2 year degree)","High school diploma","Computer Science","Biomedical Engineering","Computer Science","Computer Science",2.08,3.55,3.56,2.56
210,18,"Female","Asian/Pacific Islander",1,1,1,"Bachelor's degree (4 year degree)","High school diploma","Biomedical Engineering","Biology","Biology","Biology",3.08,2.02,3.9,NA
211,18,"Male","Multiracial",0,0,1,"Bachelor's degree (4 year degree)","No school","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",NA,2.43,2.07,NA
212,18,"Male","Asian/Pacific Islander",0,0,1,"Master's degree","Master's degree","Mechanical Engineering",NA,"Mechanical Engineering",NA,2.51,3.69,2.1,3.88
213,18,"Male","White",0,0,1,"Associates degree or equivalent (2 year degree)","Some high school","Mechanical Engineering","Biology","Biology","Biology",3.63,2.02,3.26,3.08
214,19,"Male","White",0,0,1,"High school diploma","Master's degree","Biology","Biology","Biology","Biology",3.48,2.14,3.5,NA
215,19,"Female","White",0,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",2.93,2.38,2,2.1
216,22,"Female","White",0,0,1,"Bachelor's degree (4 year degree)","Associates degree or equivalent (2 year degree)","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.11,3.15,2.28,3.72
217,18,"Male","Multiracial",1,0,1,"Doctorate or professional degree","High school diploma","Computer Science",NA,"Mechanical Engineering","Mechanical Engineering",3,2.08,2.27,2.1
218,19,"Male","Other",1,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Computer Science","Computer Science","Computer Science","Chemical Engineering",2.5,2.22,3.47,3.32
219,21,"Male","White",0,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Mechanical Engineering","Biology","Biology","Biology",2.08,NA,2.24,3.73
220,18,"Male","Asian/Pacific Islander",0,0,1,"Bachelor's degree (4 year degree)","High school diploma",NA,"Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.37,3.27,2.95,3.1
221,18,"Male","White",0,1,1,"Master's degree","High school diploma","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",3.93,2.82,3.49,2.91
222,20,"Female","Asian/Pacific Islander",0,0,1,"Master's degree","Associates degree or equivalent (2 year degree)","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",3.69,3.19,3.25,3.21
223,20,"Male","Black/African American",0,0,1,"High school diploma","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",2.93,2.92,2.78,3.5
224,21,"Male","White",1,0,1,"Master's degree","High school diploma","Computer Science","Computer Science","Computer Science",NA,2.37,3.73,2.27,2.1
225,18,"Female","White",0,0,1,"Associates degree or equivalent (2 year degree)","Associates degree or equivalent (2 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",3.85,2.17,3.28,3.31
226,19,"Male","White",0,0,1,"Associates degree or equivalent (2 year degree)","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Biomedical Engineering","Biomedical Engineering",3.09,3.28,2.2,2.58
227,19,"Male","White",1,0,1,"Associates degree or equivalent (2 year degree)","Master's degree","Biology","Biology","Biology","Biology",2.33,NA,2.95,2.72
228,18,"Male","White",1,0,1,"High school diploma","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",2.79,2.1,3.15,3.68
229,18,"Male","Black/African American",1,0,1,"High school diploma","High school diploma","Biology","Biology","Biology",NA,2.39,3.68,3.04,3.59
230,19,"Male","Other",1,0,1,"High school diploma","High school diploma","Computer Science","Computer Science","Computer Science","Computer Science",2.8,3.73,3.03,NA
231,18,"Male","White",1,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Mechanical Engineering","Mechanical Engineering",NA,"Mechanical Engineering",NA,3.33,3.54,3.49
232,18,"Female","White",0,0,1,"Associates degree or equivalent (2 year degree)","High school diploma","Computer Science","Computer Science","Computer Science","Computer Science",3.77,2.09,2.63,3.41
233,19,"Female","White",1,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)",NA,"Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.19,2.8,2.15,2.05
234,18,"Female","Asian/Pacific Islander",1,0,1,"Associates degree or equivalent (2 year degree)","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Mechanical Engineering","Mechanical Engineering",3.34,2.95,2.91,2.08
235,18,"Male","White",0,0,0,"Master's degree","No school","Biology",NA,"Biology",NA,3.96,2.36,NA,2.27
236,18,"Female","Black/African American",0,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Chemical Engineering","Chemical Engineering","Chemical Engineering","Biology",2.87,2.57,2.56,3.62
237,18,"Female","White",0,0,1,"Bachelor's degree (4 year degree)","High school diploma","Chemical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.25,2.32,2.34,NA
238,18,"Female","White",1,0,1,"Bachelor's degree (4 year degree)","High school diploma","Computer Science","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",3.38,2.23,2.38,2.23
239,19,"Male","White",0,0,1,"High school diploma","High school diploma","Biology","Biology","Computer Science","Computer Science",2.09,2.71,3.54,2.76
240,19,"Male","White",1,0,1,"Master's degree","High school diploma","Computer Science","Chemical Engineering","Chemical Engineering","Chemical Engineering",2.68,3.58,2.51,3.65
241,18,"Female","White",0,0,1,"Associates degree or equivalent (2 year degree)","Associates degree or equivalent (2 year degree)","Chemical Engineering","Chemical Engineering","Computer Science","Computer Science",2.9,3.64,2.48,2.41
242,18,"Female","White",1,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Computer Science","Computer Science",NA,"Computer Science",2.3,3.03,3.39,NA
243,21,"Female","White",0,0,0,"Master's degree","High school diploma","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.43,3.17,3.85,2.87
244,21,"Female","Asian/Pacific Islander",0,0,1,"High school diploma","Bachelor's degree (4 year degree)","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.29,2.35,2.41,NA
245,19,"Male","Hispanic/Latine",0,0,1,"Bachelor's degree (4 year degree)","High school diploma","Biology","Biology","Biology","Biology",2.72,3.43,2.16,NA
246,19,"Female","White",0,0,1,"High school diploma","Some high school","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",NA,2.51,2.8,3.39,3.08
247,20,"Female","White",0,0,0,"Bachelor's degree (4 year degree)","Master's degree","Mechanical Engineering","Mechanical Engineering",NA,"Chemical Engineering",2.65,NA,3.64,2.24
248,18,"Male","Asian/Pacific Islander",0,0,1,"Master's degree","High school diploma","Computer Science","Computer Science","Computer Science","Computer Science",2.37,2.52,NA,3.58
249,18,"Female","Asian/Pacific Islander",0,0,1,"No school","Associates degree or equivalent (2 year degree)","Mechanical Engineering","Biomedical Engineering","Biomedical Engineering",NA,3.63,2.45,2.45,3.15
250,22,"Male","White",0,0,1,"Associates degree or equivalent (2 year degree)","High school diploma","Biomedical Engineering",NA,"Biomedical Engineering","Biomedical Engineering",2.04,2.31,2.36,3
251,19,"Female","White",0,0,1,"Associates degree or equivalent (2 year degree)","Associates degree or equivalent (2 year degree)",NA,"Biology",NA,NA,2.84,3.54,2.62,2.78
252,19,"Male","Asian/Pacific Islander",0,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",2.43,NA,2.74,2.77
253,18,"Female","White",0,0,1,"Associates degree or equivalent (2 year degree)","High school diploma","Computer Science","Computer Science","Computer Science","Computer Science",NA,2.74,2.76,3.5
254,19,"Male","Black/African American",0,0,1,"Master's degree","Bachelor's degree (4 year degree)","Computer Science","Biology","Biology","Biology",2.43,3.1,2.27,3.96
255,19,"Male","Hispanic/Latine",1,0,1,"Master's degree","Master's degree","Computer Science","Computer Science","Computer Science",NA,2.61,2.19,NA,NA
256,19,"Male","White",0,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Biology","Biology","Biology",NA,2.05,3.28,NA,2.52
257,19,"Female","Asian/Pacific Islander",0,0,1,"Bachelor's degree (4 year degree)","Master's degree","Chemical Engineering","Biology","Biology","Biology",3.04,2.4,NA,3.6
258,18,"Female","White",0,0,1,"Bachelor's degree (4 year degree)","High school diploma","Computer Science","Computer Science",NA,"Computer Science",3.82,2.24,3.93,2.69
259,20,"Female","Other",0,0,1,"High school diploma","Bachelor's degree (4 year degree)","Biomedical Engineering","Computer Science","Computer Science","Computer Science",3.33,2.73,2.63,3.77
260,18,"Male","Hispanic/Latine",1,0,1,"Master's degree","Associates degree or equivalent (2 year degree)","Biomedical Engineering","Mechanical Engineering",NA,NA,3.06,3.57,NA,2.44
261,19,"Male","Hispanic/Latine",0,0,1,"Master's degree","Associates degree or equivalent (2 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",2.3,2.64,3.11,3.74
262,19,"Male","Black/African American",0,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Biology","Computer Science","Computer Science",NA,2.38,3.56,2.06,2.03
263,19,"Male","White",1,0,1,"Associates degree or equivalent (2 year degree)","Bachelor's degree (4 year degree)","Chemical Engineering","Computer Science","Biology","Computer Science",3.99,3.2,3.49,3.13
264,18,"Male","Hispanic/Latine",0,0,1,"High school diploma","High school diploma","Biology","Biology","Biology",NA,3.65,2.78,2.1,2.35
265,18,"Male","Hispanic/Latine",1,0,1,"Master's degree","High school diploma","Mechanical Engineering","Mechanical Engineering",NA,"Mechanical Engineering",2.97,NA,3.52,2.5
266,21,"Female","Black/African American",1,0,1,"Bachelor's degree (4 year degree)","Associates degree or equivalent (2 year degree)","Biology","Biology","Biomedical Engineering","Biomedical Engineering",2.23,2.08,2.55,3.68
267,18,"Female","White",1,0,1,"Associates degree or equivalent (2 year degree)","High school diploma","Mechanical Engineering","Mechanical Engineering",NA,"Mechanical Engineering",2.31,2.06,3.88,2.99
268,18,"Male","Asian/Pacific Islander",0,0,1,"High school diploma","Bachelor's degree (4 year degree)","Biology","Biology","Computer Science","Computer Science",2.71,2.66,3.18,3.98
269,18,"Male","Asian/Pacific Islander",0,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",3.74,NA,2.9,NA
270,18,"Male","Black/African American",0,0,1,"High school diploma","High school diploma","Computer Science","Computer Science","Computer Science","Computer Science",2.68,3.54,2.04,3.29
271,19,"Male","White",0,0,1,"High school diploma","Doctorate or professional degree","Computer Science","Computer Science","Computer Science","Computer Science",3.94,3.58,3.91,2.92
272,18,"Female","White",0,0,1,"High school diploma","Some high school","Computer Science","Chemical Engineering","Chemical Engineering","Chemical Engineering",3.5,2.59,3.15,3.95
273,18,"Male","Black/African American",0,0,1,"Doctorate or professional degree","Elementary school","Biomedical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",3.35,3.36,NA,3
274,18,"Male","Asian/Pacific Islander",0,0,1,"Associates degree or equivalent (2 year degree)","Associates degree or equivalent (2 year degree)","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",NA,2.43,3.65,2.1,NA
275,19,"Male","White",1,0,1,"Middle school/Junior high","Elementary school","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",3.1,2.89,3.93,NA
276,18,"Male","Hispanic/Latine",0,0,1,"High school diploma","Bachelor's degree (4 year degree)","Chemical Engineering","Chemical Engineering",NA,"Chemical Engineering",3.01,3.98,3.32,3.35
277,19,"Male","White",1,0,1,"Bachelor's degree (4 year degree)","Some high school",NA,NA,"Biomedical Engineering",NA,3.56,3.05,3.15,3.03
278,18,"Male","White",0,0,1,"Associates degree or equivalent (2 year degree)","Associates degree or equivalent (2 year degree)","Computer Science","Computer Science","Computer Science",NA,3.33,3.22,2.8,2.94
279,18,"Female","White",0,0,1,"Some high school","Some high school","Mechanical Engineering","Mechanical Engineering",NA,"Mechanical Engineering",2.89,NA,2.36,3.7
280,20,"Male","White",0,0,1,"Middle school/Junior high","Bachelor's degree (4 year degree)","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.66,2.89,2.07,3.07
281,20,"Male","Asian/Pacific Islander",1,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",3.09,2.49,3.86,2.06
282,21,"Male","White",1,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Mechanical Engineering","Mechanical Engineering","Chemical Engineering",NA,3.77,3.78,3.74,2.1
283,19,"Female","White",0,0,1,"Bachelor's degree (4 year degree)","Associates degree or equivalent (2 year degree)","Biology","Biology",NA,"Biology",3.97,2.73,2.1,NA
284,18,"Female","White",0,0,1,"Associates degree or equivalent (2 year degree)","High school diploma","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.06,3.26,2.65,2.1
285,18,"Male","White",0,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",2.12,3.34,2.4,3.54
286,19,"Male","Native American",0,0,1,"High school diploma","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",2.68,2.69,2.18,3.46
287,18,"Female","Asian/Pacific Islander",0,0,1,"Master's degree","Associates degree or equivalent (2 year degree)","Computer Science","Computer Science","Computer Science",NA,3.79,3.52,2.7,3.28
288,18,"Male","White",0,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",3.74,2.93,2.49,3.76
289,18,"Male","White",0,0,1,"Master's degree","Associates degree or equivalent (2 year degree)","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",3.13,2.98,3.43,2.71
290,19,"Female","White",0,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Mechanical Engineering","Biology",NA,"Biology",2.02,3.58,2.79,2.9
291,21,"Female","Multiracial",0,0,1,"Master's degree","Bachelor's degree (4 year degree)","Chemical Engineering","Chemical Engineering","Chemical Engineering","Computer Science",2.62,2.66,2.3,2.39
292,18,"Female","Asian/Pacific Islander",0,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.94,2.48,2.3,2.6
293,18,"Female","White",0,0,0,"Some high school","High school diploma","Biology",NA,"Biomedical Engineering","Biomedical Engineering",2.32,3.99,NA,2.02
294,18,"Male","Asian/Pacific Islander",0,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Mechanical Engineering","Mechanical Engineering","Biology","Mechanical Engineering",3.16,3.55,2.69,2.98
295,18,"Female","White",0,0,1,"High school diploma","High school diploma","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",3.08,2.6,3.68,NA
296,18,"Female","White",1,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",3.72,2.23,2.3,2.82
297,19,"Male","White",0,0,1,"Associates degree or equivalent (2 year degree)","High school diploma","Mechanical Engineering","Chemical Engineering","Chemical Engineering","Chemical Engineering",2.35,3.54,NA,2.73
298,20,"Male","Black/African American",0,0,1,"High school diploma","High school diploma","Biomedical Engineering","Computer Science","Computer Science",NA,2.3,NA,2.61,3.63
299,22,"Female","White",0,0,1,"Associates degree or equivalent (2 year degree)","Master's degree","Computer Science","Chemical Engineering","Chemical Engineering","Chemical Engineering",3.45,3.8,3.04,NA
300,19,"Male","White",0,0,0,"High school diploma","Bachelor's degree (4 year degree)","Computer Science",NA,"Computer Science","Computer Science",3.56,3.91,3.6,3.39
301,19,"Male","Native American",0,0,1,"Associates degree or equivalent (2 year degree)","Bachelor's degree (4 year degree)","Computer Science","Mechanical Engineering",NA,"Mechanical Engineering",3.89,3.47,NA,2.53
302,18,"Male","White",0,0,1,"High school diploma","No school","Chemical Engineering","Chemical Engineering","Chemical Engineering","Chemical Engineering",3.77,3.46,3.97,2.74
303,19,"Male","Other",0,0,1,"Associates degree or equivalent (2 year degree)","Bachelor's degree (4 year degree)","Chemical Engineering","Computer Science","Computer Science",NA,3.67,2.32,2.93,3.81
304,18,"Male","White",0,0,1,"Doctorate or professional degree","High school diploma","Chemical Engineering","Chemical Engineering","Chemical Engineering","Chemical Engineering",2.04,2.01,3.84,2.5
305,19,"Male","White",1,0,1,"High school diploma","Doctorate or professional degree","Mechanical Engineering","Mechanical Engineering",NA,"Computer Science",3.3,3.92,3.15,NA
306,20,"Female","Asian/Pacific Islander",0,0,1,"High school diploma","Bachelor's degree (4 year degree)","Mechanical Engineering","Chemical Engineering",NA,"Chemical Engineering",3.32,2.27,3.41,3.06
307,18,"Male","Asian/Pacific Islander",1,0,0,"Master's degree","High school diploma","Biology","Computer Science","Computer Science","Computer Science",2.51,2.05,3.42,NA
308,20,"Male","White",1,0,1,"Bachelor's degree (4 year degree)","Associates degree or equivalent (2 year degree)","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",3.89,3.39,2.14,3.15
309,18,"Female","White",1,0,1,"Master's degree","High school diploma","Computer Science","Computer Science","Computer Science","Computer Science",2.12,3.69,3.29,2.05
310,20,"Female","White",0,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Computer Science","Mechanical Engineering",NA,"Computer Science",3.7,3.57,2.08,2.07
311,19,"Male","Black/African American",0,0,1,"Bachelor's degree (4 year degree)","Associates degree or equivalent (2 year degree)","Chemical Engineering","Chemical Engineering",NA,"Chemical Engineering",2.63,3.14,2.66,3.68
312,19,"Female","White",0,0,1,"Associates degree or equivalent (2 year degree)","High school diploma","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.34,2.38,4,3.95
313,18,"Male","White",0,0,1,"Bachelor's degree (4 year degree)","Associates degree or equivalent (2 year degree)","Computer Science","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",2.9,3.1,2.17,2.34
314,18,"Male","White",0,0,1,"Associates degree or equivalent (2 year degree)","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",3.56,3.68,2.11,3.84
315,19,"Female","White",1,0,1,"Bachelor's degree (4 year degree)","Associates degree or equivalent (2 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",2.44,3.91,3.45,3.46
316,18,"Female","White",0,0,1,"High school diploma","High school diploma","Biology","Biology","Biology",NA,3.69,2.35,3.89,3.72
317,19,"Female","White",0,0,1,"Master's degree","Bachelor's degree (4 year degree)","Biology","Biology","Biology","Biology",2.5,2.27,NA,3.39
318,19,"Male","White",0,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Computer Science","Biomedical Engineering",2.99,3.09,3.62,3.13
319,18,"Male","Black/African American",1,0,1,"Master's degree","High school diploma","Chemical Engineering","Chemical Engineering","Chemical Engineering","Chemical Engineering",3.27,3.78,3.56,3.83
